"BOROUGH","NEIGHBORHOOD","TYPE OF HOME","NUMBER OF SALES","LOWEST SALE PRICE","AVERAGE SALE PRICE","MEDIAN SALE PRICE","HIGHEST SALE PRICE","YEAR"
"4","JAMAICA ESTATES","02 TWO FAMILY DWELLINGS","3","$1,260,000","$1,345,833.333333333","$1,367,500","$1,410,000","2024"
"4","JAMAICA ESTATES","01 ONE FAMILY DWELLINGS","48","$750,000","$1,422,390.375","$1,305,931.5","$2,699,000","2024"
"4","JAMAICA BAY","01 ONE FAMILY DWELLINGS","2","$430,000","$532,500","$532,500","$635,000","2024"
"4","JAMAICA","03 THREE FAMILY DWELLINGS","2","$800,000","$1,125,000","$1,125,000","$1,450,000","2024"
"4","JAMAICA","02 TWO FAMILY DWELLINGS","31","$207,071","$978,759.0967741936","$910,000","$1,500,000","2024"
"4","JAMAICA","01 ONE FAMILY DWELLINGS","14","$565,000","$782,857.1428571428","$722,500","$1,300,000","2024"
"4","JACKSON HEIGHTS","03 THREE FAMILY DWELLINGS","25","$350,000","$1,254,735.16","$1,400,000","$2,140,000","2024"
"4","JACKSON HEIGHTS","02 TWO FAMILY DWELLINGS","66","$475,000","$1,105,901.560606061","$1,012,000","$2,000,000","2024"
"4","JACKSON HEIGHTS","01 ONE FAMILY DWELLINGS","56","$500,000","$986,579.1785714285","$935,000","$1,852,000","2024"
"4","HOWARD BEACH","03 THREE FAMILY DWELLINGS","1","$565,000","$565,000","$565,000","$565,000","2024"
"4","HOWARD BEACH","02 TWO FAMILY DWELLINGS","35","$585,494","$979,074.8571428572","$985,000","$1,345,000","2024"
"4","HOWARD BEACH","01 ONE FAMILY DWELLINGS","135","$200,000","$830,385.925925926","$859,000","$1,990,000","2024"
"4","HOLLISWOOD","02 TWO FAMILY DWELLINGS","2","$765,400","$898,950","$898,950","$1,032,500","2024"
"4","HOLLISWOOD","01 ONE FAMILY DWELLINGS","36","$401,875","$1,474,365.666666667","$1,279,700","$3,500,000","2024"
